1546,#trumppence16                 ,2016-08-06
1546,#crookedhillary               ,2016-08-06
1551,#ugpride2016                  ,2016-08-06
1552,#restorethevra                ,2016-08-06
1557,#rio2016                      ,2016-08-06
1557,#openingceremony              ,2016-08-06
1557,#teamusa                      ,2016-08-06
1559,#maga                         ,2016-08-06
1559,#trumppence16                 ,2016-08-06
1561,#trumppence16                 ,2016-08-05
1563,#trumptrain                   ,2016-08-05
1563,#maga                         ,2016-08-05
1572,#nabjnahj16                   ,2016-08-05
1594,#makeamericagreatagain        ,2016-08-04
1604,#coastguardday                ,2016-08-04
1609,#maga                         ,2016-08-04
1613,#makeamericagreatagain        ,2016-08-04
1615,#imwithyou                    ,2016-08-03
1615,#maga                         ,2016-08-03
1616,#maga                         ,2016-08-03
1616,#lesm                         ,2016-08-03
1617,#makeamericagreatagain        ,2016-08-03
1646,#icymi                        ,2016-08-02
1648,#makeamericagreatagain        ,2016-08-02
1652,#imwithyou                    ,2016-08-02
1654,#demconvention                ,2016-08-02
1656,#imwithher                    ,2016-08-02
1656,#demconvention                ,2016-08-02
1659,#crookedhillary               ,2016-08-02
1661,#maga                         ,2016-08-02
1662,#maga                         ,2016-08-02
1662,#trumpmovement                ,2016-08-02
1672,#maga                         ,2016-08-01
1672,#imwithyou                    ,2016-08-01
1674,#maga                         ,2016-08-01
1674,#imwithyou                    ,2016-08-01
1675,#imwithyou                    ,2016-08-01
1675,#makeamericagreatagain        ,2016-08-01
1701,#msm                          ,2016-07-31
1701,#voterfraud                   ,2016-07-31
1715,#1                            ,2016-07-30
1722,#crookedhillary               ,2016-07-30
1739,#imwithher                    ,2016-07-30
1742,#khizrkhan                    ,2016-07-30
1744,#maga                         ,2016-07-30
1750,#trump2016                    ,2016-07-30
1751,#makeamericagreatagain        ,2016-07-30
1754,#crookedhillary               ,2016-07-30
1755,#lesm                         ,2016-07-30
1755,#makeamericagreatagain        ,2016-07-30
1772,#trumppence16                 ,2016-07-29
1778,#neverhillary                 ,2016-07-29
1780,#neverhillary                 ,2016-07-29
1845,#strongertogether             ,2016-07-29
1877,#demconvention                ,2016-07-29
1884,#demsinphilly                 ,2016-07-28
1886,#demsinphilly                 ,2016-07-28
1887,#demsinphilly                 ,2016-07-28
1887,#demconvention                ,2016-07-28
1891,#maga                         ,2016-07-28
1891,#tbt                          ,2016-07-28
1898,#demsinphilly                 ,2016-07-28
1899,#maga                         ,2016-07-28
1903,#dnc                          ,2016-07-28
1907,#demsinphilly                 ,2016-07-28
1907,#nato                         ,2016-07-28
1989,#demsinphilly                 ,2016-07-28
2000,#stopgunviolence              ,2016-07-28
2001,#makeamericagreatagain        ,2016-07-28
2003,#imwithher                    ,2016-07-27
2003,#enough                       ,2016-07-27
2006,#demsinphilly                 ,2016-07-27
2008,#pulse                        ,2016-07-27
2008,#lgbt                         ,2016-07-27
2009,#demsinphilly                 ,2016-07-27
2010,#demsinphilly                 ,2016-07-27
2011,#demsinphilly                 ,2016-07-27
2013,#demsinphilly                 ,2016-07-27
2015,#dncinphl                     ,2016-07-27
2015,#demsinphilly                 ,2016-07-27
2017,#demsinphilly                 ,2016-07-27
2021,#makeamericagreatagain        ,2016-07-27
2022,#demsinphilly                 ,2016-07-27
2023,#demconvention                ,2016-07-27
2027,#maga                         ,2016-07-27
2034,#makeamericagreatagain        ,2016-07-27
2039,#demsinphl                    ,2016-07-27
2049,#demsinphilly                 ,2016-07-27
2049,#strongertogether             ,2016-07-27
2074,#demconvention                ,2016-07-27
2079,#demsinphilly                 ,2016-07-27
2084,#demsinphilly                 ,2016-07-27
2092,#wemadehistory                ,2016-07-26
2097,#rollcallvote                 ,2016-07-26
2098,#rollcallvote                 ,2016-07-26
2099,#wemadehistory                ,2016-07-26
2100,#demsinphilly                 ,2016-07-26
2100,#imwithher                    ,2016-07-26
2104,#demsinphilly                 ,2016-07-26
2105,#demsinphilly                 ,2016-07-26
2106,#demsinphilly                 ,2016-07-26
2107,#wemadehistory                ,2016-07-26
2112,#demconvention                ,2016-07-26
2113,#demsinphl                    ,2016-07-26
2114,#makeamericagreatagain        ,2016-07-26
2115,#maga                         ,2016-07-26
2115,#trumppence16                 ,2016-07-26
2116,#maga                         ,2016-07-26
2116,#trumppence16                 ,2016-07-26
2117,#demsinphl                    ,2016-07-26
2118,#demsinphl                    ,2016-07-26
2124,#demsinphilly                 ,2016-07-26
2125,#demsinphilly                 ,2016-07-26
2130,#demsinphilly                 ,2016-07-26
2132,#demsinphilly                 ,2016-07-26
2135,#demsinphilly                 ,2016-07-26
2136,#demsinphilly                 ,2016-07-26
